year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude
1969,1399,Caprivi Strip,Caprivi Strip,22.5689,-17.9802
1969,1406,Equatorial Guinea,Centroid of ADM0,10.342,1.71234
1969,1717,Gibraltar,Gibraltar,-5.35358,36.1408
1969,2016,Mekong River,Midpoint of river,105.871,14.6024
1969,2098,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715
1969,2108,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181
1969,2239,Guyana-Venezuela Border,Midpoint of shared (national) border,-60.4302,6.93136
1969,2373,"Najran, Saudi Arabia","Najran, Saudi Arabia",44.2289,17.5656
1969,2633,"Cooch Behar, India","Cooch Behar, India",89.4459,26.3357
1969,2634,India (Northern [> ADM1]),Centroid of > ADM1,76.7372,28.5088
1969,2635,India (Malda [ADM2]),Centroid of ADM2,88.0877,25.1357
1969,2936,China-North Vietnam Border (Territorial Waters),Midpoint of shared (territorial water) border,108.096,21.4494
1969,2937,Shikotan Island,Shikotan Island,146.747,43.7936
1969,2938,Gulf of Siam,Gulf of Siam,101.343,9.71212
1969,3173,Lebanon-Syria Border,Midpoint of shared (national) border,36.4156,34.045
1969,3206,Angola-DRC Border,Midpoint of shared (national) border,19.5347,-7.01493
1970,1039,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576
1970,1068,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1970,1605,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1970,2017,Mekong River,Midpoint of river,105.871,14.6024
1970,2109,"Baghdad, Iraq","Baghdad, Iraq",44.3615,33.3128
1970,2221,"Yerevan, Armenia","Yerevan, Armenia",44.4991,40.1792
1970,2240,Anacoco Island,Anacoco Island,-61.1436,6.72528
1970,2942,El Salvador-Guatemala Border (Territorial Waters),Midpoint of shared (territorial water) border,-90.1801,13.6571
1970,3387,Suez Canal,Timsah Lake,32.2909,30.5735
1971,1046,Israel-Syria Border,Midpoint of shared (national) border,35.8546,33.0388
1971,1081,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576
1971,1107,North Yemen-South Yemen Border,Midpoint of shared (national) border,45.1159,13.8285
1971,1135,Persian Gulf,Persian Gulf,51.6834,26.7505
1971,1158,Ecuador Exclusive Economic Zone,Midpoint of westernmost mainland EEZ,-84.3917,-0.875073
1971,1380,Tanzania (Kagera [ADM1]),Centroid of ADM1,31.4539,-1.88039
1971,1391,Mozambique-Zambia Border,Midpoint of shared (national) border,31.3928,-14.6432
1971,1404,Sudan-Uganda Border,Midpoint of shared (national) border,32.314,3.68445
1971,1447,,,,
1971,1718,Romania-Russia Border,Midpoint of shared (national) border,27.1899,47.9239
1971,2059,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794
1971,2099,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715
1971,2110,Iraq (Khanaqin [ADM2]),Centroid of ADM2,45.2897,34.3615
1971,2616,Gambia-Senegal Border,Midpoint of shared (national) border,-13.8697,13.3224
1971,2619,"Mokambo, DRC","Mokambo, DRC",28.3491,-12.4265
1971,2621,Rwanda-Uganda Border,Midpoint of shared (national) border,30.0537,-1.40806
1971,2622,Sudan-Uganda Border,Midpoint of shared (national) border,32.314,3.68445
1971,2944,Baltic Sea,Baltic Sea,19.8633,58.488
1971,2946,Cuba-United States Border (Territorial Waters),Midpoint along shortest line between territorial waters,-81.9004,23.8593
1971,2947,China (Guangdong [ADM1]),Centroid of ADM1,113.415,23.3352
1971,3659,"Sinai, Egypt","Sinai, Egypt",34,29.5
1972,354,Iceland Territorial Waters,Point along territorial waters nearest North Sea,-12.8121,64.5558
1972,602,Ecuador Exclusive Economic Zone,Midpoint of westernmost mainland EEZ,-84.3917,-0.875073
1972,1104,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217
1972,1118,Morocco,Midpoint of coastline,-8.34876,33.3276
1972,1340,"Mbanie Island, Gabon","Mbanie Island, Gabon",9.3791,0.81068
1972,1364,Mozambique-Tanzania Border,Midpoint of shared (national) border,37.7783,-11.5669
1972,1381,Tanzania-Uganda Border,Midpoint of shared (national) border,32.1947,-1.00008
1972,1389,Guinea Bissau-Senegal Border,Midpoint of shared (national) border,-15.2665,12.6561
1972,1390,Mozambique-Zambia Border,Midpoint of shared (national) border,31.3928,-14.6432
1972,1612,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809
1972,2138,Libya-Sudan Border,Midpoint of shared (national) border,25.0009,20.2518
1972,2319,Belize Territorial Waters,Centroid of territorial waters,-87.6937,16.7176
1972,2615,"Bujumbura, Burundi","Bujumbura, Burundi",29.3599,-3.36138
1972,2638,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1972,2948,North Vietnam,Midpoint of coastline,104.094,19.2248
1972,2949,Bering Sea,Bering Sea,-178.139,56.9073
1973,1043,"Sinai, Egypt","Sinai, Egypt",34,29.5
1973,1105,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217
1973,1119,Morocco,Midpoint of coastline,-8.34876,33.3276
1973,1200,"Islamabad, Pakistan","Islamabad, Pakistan",73.0931,33.7294
1973,1342,Malawi-Mozambique Border,Midpoint of shared (national) border,35.2699,-16.3259
1973,1362,Burundi-Rwanda-Tanzania Border,"Intersection of Burundi, Rwanda, and Tanzania borders",30.5733,-2.39916
1973,1367,Kenya-Uganda Border,Midpoint of shared (national) border,34.9566,1.58421
1973,1386,Guinea-Guinea Bissau Border,Midpoint of shared (national) border,-13.8519,11.671
1973,1397,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759
1973,1808,Argentina-Uruguay Border,Midpoint of shared (national) border,-57.9776,-31.3705
1973,2068,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1973,2100,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715
1973,2712,"Ulaanbaatar, Mongolia","Ulaanbaatar, Mongolia",106.906,47.8864
1973,2950,Malta Territorial Waters,Southernmost point of territorial waters,14.4108,35.5854
1973,3215,Namibia-Zambia Border,Midpoint of shared (national) border,24.4249,-17.4801
1973,3267,,,,
1973,3380,Suez Canal,Timsah Lake,32.2909,30.5735
1973,3437,Golan Heights,Golan Heights,35.7844,33.0156
1974,355,Paracel Islands,Paracel Islands,112.25,16.5
1974,364,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112
1974,1061,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118
1974,1292,Aegean Sea,Aegean Sea,25.2686,39.0192
1974,1293,Cyprus,Centroid of ADM0,33.2218,35.0459
1974,1382,Tanzania-Uganda Border,Midpoint of shared (national) border,32.1947,-1.00008
1974,1384,Gambia-Senegal Border,Midpoint of shared (national) border,-13.8697,13.3224
1974,1396,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759
1974,1411,Burkina Faso-Mali Border,Midpoint of shared (national) border,-3.43388,13.269
1974,1427,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1974,1481,Iceland Territorial Waters,Point along territorial waters nearest North Sea,-12.8121,64.5558
1974,2112,"Badrah Spend, Iraq","Badrah Spend, Iraq",45.9343,33.1158
1974,2136,Tanzania (Kagera [ADM1]),Centroid of ADM1,31.4539,-1.88039
1974,2173,Aegean Sea,Aegean Sea,25.2686,39.0192
1974,2191,Yellow Sea,Yellow Sea,123.796,35.4943
1974,2713,Mongolia,Centroid of ADM0,103.083,46.8353
1974,2951,"Guantanamo, Cuba","Guantanamo, Cuba",-75.2129,20.14
1974,3174,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1974,3227,Namibia-Zambia Border,Midpoint of shared (national) border,24.4249,-17.4801
1974,3438,Golan Heights,Golan Heights,35.7844,33.0156
1975,356,Cambodia Territorial Waters,Centroid of territorial waters,102.786,10.4762
1975,358,India (Tawang [ADM2]),Centroid of ADM2,91.9183,27.6557
1975,360,Belize-Guatemala Border,Midpoint of shared (national) border,-89.1656,16.6986
1975,619,High Seas-North Sea near Iceland,Rockall Rise,-14,59
1975,1106,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217
1975,1189,Brazil-Guyana Border,Midpoint of shared (national) border,-59.7375,2.13478
1975,1231,Cambodia-Thailand Border (Territorial Waters),Midpoint of shared (territorial water) border,102.771,11.5044
1975,1290,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856
1975,1331,Algeria-Morocco Border (Territorial Waters),Midpoint of shared (territorial water) border,-2.2027,35.1914
1975,1334,"Gaborone, Botswana","Gaborone, Botswana",25.9231,-24.6282
1975,1376,Laos-Thailand Border,Midpoint of shared (national) border,102.671,17.8317
1975,1428,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1975,1430,Mozambique-Zimbabwe Border,Midpoint of shared (national) border,32.898,-18.5246
1975,1435,"Phnom Penh, Cambodia","Phnom Penh, Cambodia",104.892,11.5449
1975,1450,Indonesia (East Timor [ADM1]),Centroid of ADM1,125.852,-8.82025
1975,1472,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1975,1613,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809
1975,2374,Centa and Melilla,Alboran Sea,-3.41955,36.2144
1975,2955,Myanmar Territorial Waters,Centroid of mainland territorial waters,95.5929,15.1422
1975,3175,Egypt-Libya Border,Midpoint of shared (national) border,25.0003,26.9777
1975,3381,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938
1975,3439,Golan Heights,Golan Heights,35.7844,33.0156
1976,361,Djibouti,Centroid of ADM0,42.5778,11.7497
1976,362,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1976,363,Falkland Islands,Falkland Islands,-59.5236,-51.7963
1976,365,Japan (Hokkaido [ADM1]),Centroid of ADM1,142.552,43.3857
1976,1190,El Salvador-Honduras Border,Midpoint of shared (national) border,-88.3707,13.8792
1976,1191,Chile-Peru Border,Midpoint of shared (national) border,-69.7861,-18.0145
1976,1232,Cambodia-Thailand Border,Midpoint of shared (national) border,102.81,13.9557
1976,1289,Aegean Sea,Aegean Sea,25.2686,39.0192
1976,1333,Botswana-Zimbabwe Border,Midpoint of shared (national) border,27.2985,-20.3205
1976,1337,"Aouzou, Chad","Aouzou, Chad",17.4307,21.8163
1976,1339,Cameroon-Gabon Border,Midpoint of shared (national) border,12.3074,2.3081
1976,1368,Kenya-Uganda Border,Midpoint of shared (national) border,34.9566,1.58421
1976,1377,"Entebbe Airport, Uganda","Entebbe Airport, Uganda",32.4418,0.043591
1976,1469,Bangladesh-India Border,Midpoint of shared (national) border,89.8472,25.9152
1976,1720,Albania-Yugoslavia Border,Midpoint of shared (national) border,20.3865,42.3043
1976,2317,Essequibo River,Midpoint of river,-58.3818,3.75846
1976,2318,Corentyne River,Midpoint of river,-57.9096,3.86172
1976,2335,Gulf of Suez,Gulf of Suez,32.9006,28.9793
1976,2956,Yellow Sea,Yellow Sea,123.796,35.4943
1976,2958,Florida Strait,Florida Strait,-82.3886,23.3876
1976,2959,South Yemen,Centroid of ADM0,49.162,16.0101
1976,2960,"Pyongyang, North Korea","Pyongyang, North Korea",125.763,39.0392
1976,2961,"Tel Aviv, Israel","Tel Aviv, Israel",34.7818,32.0853
1976,3176,Iraq-Syria Border,Midpoint of shared (national) border,41.2236,34.8775
1976,3179,Lebanon Territorial Waters,Centroid of territorial waters,35.4013,33.9181
1977,2069,Ethiopia-Somalia Border,Midpoint of shared (national) border,47.6729,7.70284
1977,2081,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1977,2120,Cordillera del Condor,Cordillera del Condor,-78.5,-4
1977,2139,Belize-Guatemala Border,Midpoint of shared (national) border,-89.1656,16.6986
1977,2140,Tanzania (Kagera [ADM1]),Centroid of ADM1,31.4539,-1.88039
1977,2142,Ethiopia-Sudan Border,Midpoint of shared (national) border,34.8118,10.7249
1977,2143,Chile-Peru Border,Midpoint of shared (national) border,-69.7861,-18.0145
1977,2144,Kenya-Tanzania Border (Territorial Waters),Midpoint of shared (territorial water) border,39.5848,-4.7184
1977,2148,Angola-DRC Border,Midpoint of shared (national) border,19.5347,-7.01493
1977,2149,Cambodia-Laos Border,Midpoint of shared (national) border,106.161,14.3695
1977,2150,Angola-DRC Border,Midpoint of shared (national) border,19.5347,-7.01493
1977,2192,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1977,2222,United States Territorial Waters (Eastern seaboard),Centroid of territorial waters,-74.3552,39.286
1977,2326,Corentyne River,Midpoint of river,-57.9096,3.86172
1977,2714,China (Jiangxi [ADM1]),Centroid of ADM1,115.721,27.6137
1977,2962,Cuba-United States Border (Territorial Waters),Midpoint along shortest line between territorial waters,-81.9004,23.8593
1977,2963,Sea of Japan,Sea of Japan,135,38.8488
1977,2964,Goto Island,Goto Island,128.905,32.8369
1977,3013,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617
1977,3014,Gulf of Sidra,Gulf of Sidra,18,31.5
1977,3018,Chile-Peru Border,Midpoint of shared (national) border,-69.7861,-18.0145
1977,3122,Argentina-United Kingdom (Falkland Islands) Border (Territorial Waters),Midpoint of shortest distance between two areas,-62.5717,-53.2808
1977,3126,Egypt-Libya Border,Midpoint of shared (national) border,25.0003,26.9777
1977,3127,Namibia-Zambia Border,Midpoint of shared (national) border,24.4249,-17.4801
1977,3129,Kenya-Somalia Border,Midpoint of shared (national) border,47.6729,7.70284
1977,3130,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433
1977,3131,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759
1977,3382,Suez Canal,Timsah Lake,32.2909,30.5735
1977,3602,DRC (Katanga [ADM1]),Centroid of ADM1,26.4035,-8.7498
1977,3603,Gulf of Siam,Gulf of Siam,101.343,9.71212
1977,3631,Chad-Libya Border,Midpoint of shared (national) border,19.4983,20.581
1977,3994,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118
1978,2070,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1978,2082,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1978,2141,Tanzania-Uganda Border,Midpoint of shared (national) border,32.1947,-1.00008
1978,2174,Aegean Sea,Aegean Sea,25.2686,39.0192
1978,2223,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1978,2346,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617
1978,2357,North Yemen-South Yemen Border,Midpoint of shared (national) border,45.1159,13.8285
1978,2602,Russia (Turkmenistan [ADM1]),Centroid of ADM1,59.3842,39.1224
1978,2715,Amur River,Midpoint of river,132.169,47.6919
1978,2727,Kuril Islands,Kuril Islands,150.971,47.1544
1978,2743,Egypt-Libya Border,Midpoint of shared (national) border,25.0003,26.9777
1978,2965,Cape Misrata,Cape Misrata,15.0783,32.373
1978,3003,Mekong River,Midpoint of river,105.871,14.6024
1978,3004,"Gaborone, Botswana","Gaborone, Botswana",25.9231,-24.6282
1978,3005,"Lusaka, Zambia","Lusaka, Zambia",28.3228,-15.3875
1978,3007,China-Vietnam Border,Midpoint of shared (national) border,105.201,23.2844
1978,3009,Bolivia-Chile Border,Midpoint of shared (national) border,-68.7092,-20.3063
1978,3015,Botswana (Northern [> ADM1]),Centroid of > ADM1,24.8268,-20.5584
1978,3440,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938
1978,3604,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856
1978,3606,Norway Territorial Waters,Centroid of territorial waters,11.0058,65.7203
1979,2053,Afghanistan-Pakistan-Russia,Midpoint of shortest line between Pakistan-Russia within Afghanistan,72.1109,36.7697
1979,2101,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715
1979,2113,Iran,Centroid of ADM0,54.3,32.5712
1979,2115,Shatt-al-Arab,Midpoint of river,48.0287,30.4622
1979,2193,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1979,2224,Pacific Ocean,Pacific Ocean,-124.509,-8.78319
1979,2225,Cuba-United States Border (Territorial Waters),Midpoint along shortest line between territorial waters,-81.9004,23.8593
1979,2325,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082
1979,2716,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112
1979,2967,Peru Territorial Waters,Centroid of territorial waters,-78.7418,-9.0983
1979,2968,Canada (British Columbia [ADM1]),Centroid of ADM1,-124.769,54.7532
1979,3000,Ethiopia-Sudan Border,Midpoint of shared (national) border,34.8118,10.7249
1979,3001,Egypt-Libya-Sudan Border,"Intersection of Egypt, Libya, and Sudan borders",25.0014,21.9997
1979,3002,Angola-Zimbabwe Border,Southeasternmost point of Angola,23.4282,-17.6393
1979,3020,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1979,3021,Gulf of Sidra,Gulf of Sidra,18,31.5
1979,3022,Sulu Sea,Sulu Sea,120.896,8.51904
1979,3024,Algeria-Morocco (Western Sahara [> ADM1]) Border,Midpoint of shared (subnational) border,-8.6715,27.4841
1979,3025,Afghanistan-Iran Border,Midpoint of shared (national) border,60.7024,32.6938
1979,3026,Laos (Northern [> ADM1]),Centroid of > ADM1,102.191,20.3397
1979,3383,"Sinai, Egypt","Sinai, Egypt",34,29.5
1979,3441,Lebanon-Syria (Homs [ADM1]),Midpoint of shared (subnational) border,36.3866,34.5472
1979,3607,Morocco,Midpoint of coastline,-10.0447,29.6042
1980,2071,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1980,2083,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1980,2152,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1980,2717,Argun River,Midpoint of river,120.053,51.5769
1980,2969,"Dakar, Senegal","Dakar, Senegal",-17.366,14.7645
1980,3016,Libya-Sudan Border,Midpoint of shared (national) border,24.6142,19.9997
1980,3017,Afghanistan-Iran-Russia Border,"Intersection of Afghanistan, Iran, and Russia borders",61.2766,35.6072
1980,3105,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294
1980,3107,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576
1980,3108,Kuwait,Centroid of ADM0,47.5909,29.3408
1980,3109,Bangladesh-India Border,Midpoint of shared (national) border,89.8472,25.9152
1980,3111,Burma,Midpoint of coastline,95.3626,15.9799
1980,3112,DRC-Zambia Border,Midpoint of shared (national) border,29.8027,-13.2745
1980,3113,Algeria-Morocco Border,Midpoint of shared (national) border,-3.75089,31.1518
1980,3114,Mekong River,Midpoint of river,105.871,14.6024
1980,3115,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217
1980,3116,"Belgrade, Serbia","Belgrade, Serbia",20.4489,44.7866
1980,3117,Sulu Sea,Sulu Sea,120.896,8.51904
1980,3118,Egypt-Libya Border,Midpoint of shared (national) border,25.0003,26.9777
1980,3119,Mauritania-Morocco Border,Midpoint of shared (national) border,-12.1085,23.4262
1980,3120,"San Andres Island, Philippines","San Andres Island, Philippines",124.017,12.3953
1980,3121,Congo-DRC Border,Midpoint of shared (national) border,16.2501,-2.10784
1980,3448,Lebanon-Syria Border,Midpoint of shared (national) border,36.4156,34.045
1980,3610,Natuna Islands,Natuna Islands,108.25,4
1980,3632,Libya-Tunisia Border,Midpoint of shared (national) border,10.4702,31.7216
1980,3633,Chad-Libya Border,Midpoint of shared (national) border,19.4983,20.581
1981,2084,Argentina (Mendoza [ADM1]),Centroid of ADM1,-68.5867,-34.6287
1981,2119,Cordillera del Condor,Cordillera del Condor,-78.5,-4
1981,2175,Aegean Sea,Aegean Sea,25.2686,39.0192
1981,2194,Korean Demilitarized Zone,Centroid of DMZ,127.474,38.2539
1981,2228,"New York, USA","New York, USA",-74.0059,40.7128
1981,2237,Guyana-Venezuela Border,Midpoint of shared (national) border,-60.4302,6.93136
1981,2347,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082
1981,2639,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1981,2970,North Sea,North Sea,3.51563,56.511
1981,2971,"Pyongyang, North Korea","Pyongyang, North Korea",125.763,39.0392
1981,2972,Caribbean Sea,Caribbean Sea,-74.9676,14.5401
1981,3092,Saudi Arabia (Northern [> ADM1]),Centroid of > ADM1,40.0474,28.6258
1981,3093,Sweden Territorial Waters,Centroid of mainland territorial waters,17.3734,57.276
1981,3095,Kuwait,Centroid of ADM0,47.5909,29.3408
1981,3096,Bangladesh-India Border,Midpoint of shared (national) border,89.8472,25.9152
1981,3097,Iran-Turkey Border,Midpoint of shared (national) border,44.3185,38.5819
1981,3098,Libya-Sudan Border,Midpoint of shared (national) border,24.6142,19.9997
1981,3099,Libya,Centroid of ADM0,18.1452,26.6513
1981,3100,Persian Gulf,Persian Gulf,51.6834,26.7505
1981,3101,"Baghdad, Iraq","Baghdad, Iraq",44.3615,33.3128
1981,3102,China-Vietnam Border,Midpoint of shared (national) border,105.201,23.2844
1981,3104,Cameroon-Nigeria Border,Midpoint of shared (national) border,12.2051,7.99518
1981,3180,"Baghdad, Iraq","Baghdad, Iraq",44.3615,33.3128
1982,2072,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1982,2176,Cyprus,Centroid of ADM0,33.2218,35.0459
1982,2229,Japan Territorial Waters,Northernmost point of territorial waters,141.915,45.7267
1982,2323,Guajira Peninsula,Guajira Peninsula,-71.5,12
1982,2348,Guatemala-Mexico Border,Midpoint of shared (national) border,-90.6733,16.6674
1982,2640,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1982,2973,Sweden Territorial Waters,Centroid of mainland territorial waters,17.3734,57.276
1982,2974,Sea of Japan,Sea of Japan,135,38.8488
1982,2975,South China Sea,South China Sea,114.405,15.4881
1982,2976,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095
1982,2977,Nicaragua,Centroid of ADM0,-85.0348,12.8399
1982,2978,"Athens, Greece","Athens, Greece",23.7275,37.9838
1982,2982,Arabian Sea,Arabian Sea,64.3372,12.2502
1982,3073,"Maseru, Lesotho","Maseru, Lesotho",27.5144,-29.3632
1982,3074,Myanmar Territorial Waters,Centroid of mainland territorial waters,95.5929,15.1422
1982,3076,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793
1982,3077,Falkland Islands,Falkland Islands,-59.5236,-51.7963
1982,3078,"Kharg Island, Iran","Kharg Island, Iran",50.3121,29.2457
1982,3082,Mekong River,Midpoint of river,105.871,14.6024
1982,3083,Indonesia-Papua New Guinea Border,Midpoint of shared (national) border,141.006,-5.95494
1982,3085,Guyana-Venezuela Border,Midpoint of shared (national) border,-60.4302,6.93136
1982,3086,Iraq-Syria Border,Midpoint of shared (national) border,41.2236,34.8775
1982,3088,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872
1982,3089,Italy Territorial Waters,Point along Territorial Waters boundary nearest centroid of noncontiguous Territorial Waters,13.138,40.6276
1982,3090,Zambia (Kaputa [ADM2]),Centroid of ADM2,29.93,-8.80462
1982,3106,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576
1982,3444,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938
1982,3612,"Mindanao Island, Phillippines","Mindanao Island, Phillippines",123.303,8.49613
1982,3613,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217
1982,3630,Falkland Islands,Falkland Islands,-59.5236,-51.7963
1983,2054,Afghanistan-Pakistan-Russia,Midpoint of shortest line between Pakistan-Russia within Afghanistan,72.1109,36.7697
1983,2086,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1983,2163,"Larnaca, Cyprus","Larnaca, Cyprus",33.6232,34.9003
1983,2195,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1983,2231,"Berlin, Germany","Berlin, Germany",13.405,52.52
1983,2349,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617
1983,2590,Afghanistan-Iran Border,Midpoint of shared (national) border,60.7024,32.6938
1983,2641,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1983,2981,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1983,3054,Saudi Arabia-South Yemen Border,Midpoint of shared (national) border,48.6709,18.1624
1983,3055,Bangladesh-India Border,Midpoint of shared (national) border,89.8472,25.9152
1983,3056,Ethiopia-Sudan Border,Midpoint of shared (national) border,34.8118,10.7249
1983,3057,Persian Gulf,Persian Gulf,51.6834,26.7505
1983,3058,Grenada,Centroid of ADM0,-61.6794,12.1129
1983,3059,Afghanistan-Iran Border,Midpoint of shared (national) border,60.7024,32.6938
1983,3062,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938
1983,3063,Kamchatka Peninsula,Kamchatka Peninsula,159.531,56.1327
1983,3064,Falkland Islands,Falkland Islands,-59.5236,-51.7963
1983,3065,Libya,Centroid of ADM0,18.1452,26.6513
1983,3066,Chad-Nigeria Border,Midpoint of shared (national) border,13.8502,13.4002
1983,3067,"Oslo, Norway","Oslo, Norway",10.7522,59.9139
1983,3068,"Brasilia, Brazil","Brasilia, Brazil",-47.8825,-15.7942
1983,3070,"Maputo, Mozambique","Maputo, Mozambique",32.6051,-25.892
1983,3071,Persian Gulf,Persian Gulf,51.6834,26.7505
1983,3072,Libya-Sudan Border,Midpoint of shared (national) border,24.6142,19.9997
1983,3075,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433
1983,3384,"Taba, Egypt","Taba, Egypt",34.8969,29.4925
1983,3385,"Sinai, Egypt","Sinai, Egypt",34,29.5
1983,3540,Laos-Thailand Border,Midpoint of shared (national) border,102.671,17.8317
1983,3614,China-Vietnam Border,Midpoint of shared (national) border,105.201,23.2844
1983,3615,"Gotland, Sweden","Gotland, Sweden",18.4867,57.4684
1983,3634,Chad-Libya Border,Midpoint of shared (national) border,19.4983,20.581
1984,2074,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1984,2087,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1984,2118,Ecuador (Zamora-Chinchipe [ADM1])-Peru (Amazonas [ADM1]),Midpoint of shared (subnational) border,-78.5543,-4.08944
1984,2177,Cyprus,Centroid of ADM0,33.2218,35.0459
1984,2196,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1984,2230,Bering Sea,Bering Sea,-178.139,56.9073
1984,2350,Guatemala-Mexico Border,Midpoint of shared (national) border,-90.6733,16.6674
1984,2541,Bay of Biscay,Bay of Biscay,-3.16322,45.557
1984,2642,Siachen Glacier,Siachen Glacier,77.0439,35.4639
1984,2728,Kuril Islands,Kuril Islands,150.971,47.1544
1984,3027,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433
1984,3031,"Gaborone, Botswana","Gaborone, Botswana",25.9231,-24.6282
1984,3034,Persian Gulf,Persian Gulf,51.6834,26.7505
1984,3035,Persian Gulf,Persian Gulf,51.6834,26.7505
1984,3036,Persian Gulf,Persian Gulf,51.6834,26.7505
1984,3037,India-Sri Lanka Border (Territorial Waters),Midpoint of shared (territorial water) border,79.5333,9.20362
1984,3038,Persian Gulf,Persian Gulf,51.6834,26.7505
1984,3040,Persian Gulf,Persian Gulf,51.6834,26.7505
1984,3041,"Paris, France","Paris, France",2.35222,48.8566
1984,3042,Persian Gulf,Persian Gulf,51.6834,26.7505
1984,3043,Persian Gulf,Persian Gulf,51.6834,26.7505
1984,3044,Algeria-Morocco Border,Midpoint of shared (national) border,-3.75089,31.1518
1984,3045,Persian Gulf,Persian Gulf,51.6834,26.7505
